,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
52,6,CR Flamengo,SC Corinthians,4,0,17,8,7,4,2,2,10,3,12,14,14,12,2,2
53,6,SE Palmeiras,EC Bahia,0,1,21,11,13,5,4,1,6,4,14,11,12,16,4,1
54,6,Cruzeiro EC,CR Vasco da Gama,1,0,11,15,6,6,5,3,4,8,12,18,18,12,1,0
55,6,EC Vitória,Grêmio FBPA,1,1,14,11,4,2,7,2,6,2,10,20,20,11,1,2
56,6,Santos FC,RB Bragantino,1,2,19,16,10,5,4,2,6,10,15,13,13,15,3,1
57,7,São Paulo FC,Fortaleza EC,0,0,14,17,6,7,1,4,5,13,17,13,15,19,2,1
58,7,Fluminense FC,Sport Recife,2,1,20,11,8,2,4,6,10,6,13,12,12,13,0,6
59,7,SC Corinthians,SC Internacional,4,2,22,8,8,3,2,5,3,7,12,10,11,13,3,3
60,7,Ceará SC,EC Vitória,1,0,18,12,6,6,3,7,3,3,29,14,15,31,5,3
61,7,EC Bahia,Botafogo FR,1,0,9,16,4,4,4,1,3,3,5,10,11,7,2,0
62,7,CR Vasco da Gama,SE Palmeiras,0,1,13,16,4,11,1,4,7,11,8,11,11,8,1,2
63,7,Grêmio FBPA,Santos FC,1,0,8,13,3,7,1,2,3,6,18,9,10,19,0,3
64,7,Cruzeiro EC,CR Flamengo,2,1,17,6,2,2,3,9,6,5,7,18,18,9,2,1
65,7,RB Bragantino,Mirassol FC,1,0,15,12,7,6,3,3,4,4,11,8,8,12,1,0
66,7,EC Juventude,Atlético Mineiro,0,1,13,26,4,4,6,5,3,5,15,11,12,16,2,3
67,8,Fortaleza EC,EC Juventude,5,0,20,4,5,1,1,8,5,4,13,13,13,14,0,3
68,8,Mirassol FC,SC Corinthians,2,1,14,10,6,3,2,3,4,5,17,12,14,19,4,0
69,8,Grêmio FBPA,RB Bragantino,1,1,16,11,7,7,2,2,6,4,11,14,14,11,0,4
70,8,EC Vitória,CR Vasco da Gama,2,1,12,16,4,6,4,2,6,3,16,7,7,17,1,0
71,8,CR Flamengo,EC Bahia,1,0,14,6,3,4,2,3,8,2,8,10,11,9,3,1
72,8,Sport Recife,Cruzeiro EC,0,4,11,17,7,9,3,4,7,4,5,11,11,5,0,2
73,8,Atlético Mineiro,Fluminense FC,3,2,14,5,5,2,0,2,10,0,6,15,15,7,3,0
74,8,Botafogo FR,SC Internacional,4,0,12,19,4,8,5,1,2,7,9,11,11,10,2,1
75,8,Santos FC,Ceará SC,0,0,14,13,6,7,6,1,9,6,19,11,11,21,5,3
76,9,Ceará SC,Sport Recife,2,0,7,9,2,4,4,1,5,8,13,12,14,16,3,2
77,9,CR Vasco da Gama,Fortaleza EC,3,0,14,10,4,6,3,4,4,7,10,11,12,11,3,1
78,9,São Paulo FC,Grêmio FBPA,2,1,20,3,9,0,2,3,8,3,12,14,14,13,1,0
79,9,SC Corinthians,Santos FC,1,0,11,6,5,3,1,1,5,3,13,8,8,14,0,0
80,9,EC Bahia,EC Vitória,2,1,8,23,3,11,7,0,1,10,23,11,12,23,0,1
81,9,EC Juventude,Fluminense FC,1,1,9,17,5,5,6,0,5,5,13,15,18,13,0,0
82,9,CR Flamengo,Botafogo FR,0,0,15,8,4,5,2,3,7,3,23,9,9,23,2,2
83,9,RB Bragantino,SE Palmeiras,1,2,9,15,3,3,3,1,8,12,12,15,15,12,1,0
84,9,Cruzeiro EC,Atlético Mineiro,0,0,21,7,8,4,3,4,15,1,16,14,15,17,1,2
85,9,SC Internacional,Mirassol FC,1,1,25,8,8,3,1,11,6,2,9,10,10,10,1,3
86,10,Fluminense FC,CR Vasco da Gama,2,1,17,7,10,4,1,4,6,2,15,11,11,16,0,1
87,10,São Paulo FC,Mirassol FC,0,2,13,6,2,3,1,3,5,4,10,18,19,11,0,1
88,10,Atlético Mineiro,SC Corinthians,0,0,13,6,8,6,0,3,1,1,18,24,24,18,0,0
89,10,Grêmio FBPA,EC Bahia,1,0,9,16,5,9,3,1,4,17,12,7,10,13,2,2
90,10,SE Palmeiras,CR Flamengo,0,2,13,7,4,1,1,3,3,3,17,13,13,18,2,1
91,10,Sport Recife,SC Internacional,1,1,14,17,6,8,2,3,6,4,10,10,11,10,3,1
92,10,EC Vitória,Santos FC,0,1,19,8,8,4,1,8,5,5,15,16,16,15,2,1
93,10,Fortaleza EC,Cruzeiro EC,0,2,10,17,4,5,6,1,6,8,10,12,14,10,0,2
94,10,RB Bragantino,EC Juventude,1,0,12,7,4,4,2,4,6,2,22,17,17,22,1,0
95,10,Botafogo FR,Ceará SC,3,2,16,9,4,4,1,7,6,0,10,12,12,11,2,3
96,11,EC Bahia,São Paulo FC,2,1,13,14,2,5,3,5,5,3,10,13,13,11,2,2
97,11,CR Vasco da Gama,RB Bragantino,0,2,20,4,8,1,1,4,7,3,9,12,13,9,1,2
98,11,Mirassol FC,Sport Recife,1,0,12,10,4,1,4,3,2,7,19,10,10,20,1,1
99,11,Santos FC,Botafogo FR,0,1,17,12,9,3,2,4,5,4,14,10,13,16,0,1
100,11,EC Juventude,Grêmio FBPA,0,2,14,18,4,8,7,5,5,7,15,11,11,15,4,0
101,11,CR Flamengo,Fortaleza EC,5,0,16,11,3,4,3,8,2,4,9,10,10,11,2,2
102,11,SC Corinthians,EC Vitória,0,0,12,6,6,3,2,3,8,3,15,7,8,16,5,2
103,11,Ceará SC,Atlético Mineiro,0,1,14,8,8,3,3,3,8,8,15,14,15,16,3,3
104,11,Cruzeiro EC,SE Palmeiras,2,1,14,18,8,5,4,1,5,13,13,17,17,13,2,0
105,11,SC Internacional,Fluminense FC,0,2,15,8,4,4,1,4,9,1,10,13,13,10,1,1
106,12,RB Bragantino,EC Bahia,0,3,9,14,6,7,3,2,4,1,10,3,3,11,1,0
107,12,EC Vitória,Cruzeiro EC,0,0,9,18,4,10,2,2,9,4,16,16,16,18,4,4
108,12,Fortaleza EC,Santos FC,2,3,32,8,10,4,1,8,15,0,15,16,16,17,5,2
